IDF;ID;Name
2;189242;Philippe Coutinho
4;0;Kepa
16;0;VinÌcius J˙nior
31;0;Arthur
32;0;Yerry Mina
36;225663;Aleksandr Golovin
37;234035;¡lvaro Odriozola
38;0;Fabi·n Ruiz
39;0;Anthony Modeste
40;0;Lucas Moura
43;0;Steven Nzonzi
52;227236;AndrÈ Zambo Anguissa
54;183512;Yuri Berchiche
64;0;Mariano DÌaz
65;232119;Caglar Sˆy¸nc¸
66;0;Pietro Pellegri
68;0;Aleksandar Mitrovic
76;0;Willem Geubbels
84;0;Duje Caleta-Car
87;224069;Karl Toko Ekambi
104;202851;GrÈgoire Defrel
113;0;Nikola Kalinic
114;0;Filip Benkovic
125;202477;Gerard Deulofeu
128;198331;Matej Vydra
129;0;Josef
133;0;Nemanja Radonjic
137;225193;Mikel Merino
143;0;Lucas Pratto
144;0;Dusan Tadic
154;0;JÙ
156;0;Guilherme Arana
158;0;Yoshinori Muto
161;198141;Marc Bartra
185;0;Alexander Sˆrloth
186;189908;Lukasz Skorupski
191;227558;Jordan Siebatcheu
195;0;Nikola Vukcevic
197;0;Keno
198;0;Roger MartÌnez
203;0;Andriy Lunin
205;0;NicÛlas Gonz·lez
213;0;Christian Cueva
215;0;Tanguy NdombÈlÈ
220;0;Armando Izzo
221;225673;Kasim Adams
225;0;Lukasz Fabianski
232;0;Wendel
234;234457;Oghenekaro Etebo
235;0;Davide Bettella
236;0;Jonny Castro
237;194644;MartÌn Montoya
245;0;Tomas Vaclik
247;0;Romarinho
257;0;Maycon
259;0;Vladyslav Supriaha
271;0;Ante Coric
274;0;Okay Yokuslu
276;177723;Fabri
277;0;Majeed Waris
278;0;Federico Valietti
280;0;Ayoub El Kaabi
282;0;Uros Spajic
284;0;Abderazak Hamdallah
285;220854;…rick GutiÈrrez
286;0;Diego Rolan
289;215703;Marlon
295;0;Borna Sosa
298;0;Bremer
299;184144;Nico Gait·n
309;233301;Rasmus Kristensen
324;0;Rodriguinho
327;0;Marco Carraro
332;231530;JosÈ Manuel Arn·iz
335;199151;Juan Iturbe
336;0;Sidcley
337;0;Evan N'Dicka
341;196935;Ignasi Miquel
342;0;Nemanja Maksimovic
345;0;Achraf Bencharki
352;0;Petros
355;205069;Juan Bernat
357;0;Jens Odgaard
358;0;Giangiacomo Magnani
359;220085;Luca Waldschmidt
362;218970;Firmin Mubele
363;0;Felipe Vizeu
371;0;TchÍ TchÍ
373;0;Jasmin Kurtic
374;0;NicolÚ Zaniolo
381;0;Krzysztof Piatek
387;0;Yuya Osako
395;0;Aleksandar Pesic
401;0;Marcos Guilherme
407;0;ArnÛr Sigurdsson
409;0;Benjamin Verbic
414;0;…der Milit„o
415;0;Jailson
423;0;Martin Dubravka
424;0;Ribamar
433;0;Carlos VinÌcius
437;0;Fabi·n Balbuena
441;224422;Jeremie Boga
444;0;Anthony Ujah
446;224813;Kenny Saief
448;0;Claudio Spinelli
452;0;Matej Mitrovic
454;219988;Felipe Avenatti
455;0;Christian Nˆrgaard
456;0;David Hancko
457;0;Toma Basic
460;0;Frank Acheampong
461;0;Nicolas N'Koulou
463;201013;Lukasz Teodorczyk
464;0;Octavio Rivero
467;0;Fernando Karanga
473;0;JosÈ Sosa
478;0;George Puscas
480;0;Steve
485;0;Ognjen Vranjes
492;0;Virgil Misidjan
493;0;Patrick Twumasi
494;0;Anselmo
495;185427;÷rjan Nyland
496;216189;Ander Capa
497;222573;AndrÈs Tello
500;0;Sergio GÛmez
503;0;Karlo Letica
506;0;Goncalo Paciencia
514;234037;Robert Piris
516;0;Igor Plastun
519;0;Joseph Paintsil
520;0;Jonathan Panzo
524;0;El Arbi Hillel Soudani
525;0;Youcef Atal
526;0;Stefan Mitrovic
527;0;Karim Adeyemi
528;195912;Hyun-jun Suk
539;0;Henrique Dourado
543;208522;Hˆrdur Magn˙sson
544;0;Frederik Rˆnnow
547;223306;Jaroslaw Jach
549;0;Josip Misic
550;0;Hussein El Shahat
552;203766;Ahmed El Shenawy
555;0;Walter Gonz·lez
556;0;David
559;0;Diego Souza
566;0;Mariusz Stepinski
567;194203;Nenad Tomovi?
569;0;Lovro Majer
570;0;Richmond Boakye
571;0;Berke ÷zer
574;178424;Vitorino Antunes
575;0;Sikou NiakatÈ
576;0;KÈvin Boli
577;0;Josip Elez
580;0;Jonatan ¡lvez
581;0;Jhon LucumÌ
582;0;Ivan Fiolic
584;0;Diego Rossi
585;0;Zeki Celik
591;221553;Vidar ÷rn Kjartansson
594;0;Constantin Budescu
597;0;Uros Djurdjevic
598;0;Lumor
602;203588;Quenten Martinus
603;0;Roberto Massimo
604;0;Borna Barisic
605;211990;Odysseas Vlachodimos
610;0;Armin Hodzic
613;0;Emmanuel M·s
620;0;Thiago Carleto
621;0;Nikola Katic
624;0;Keanan Bennetts
630;0;Anders Dreyer
631;0;Arthur
635;0;Uros Racic
639;0;Carlos Benavidez
641;224428;Juan Ferney Otero
643;0;Jean-Claude Billong
644;0;Konstantinos Mavropanos
646;0;Alessandro Di Pardo
647;0;Sebasti·n Ferreira
648;0;Mateus Vital
649;0;Issah Abass
650;230717;Tino Kadewere
651;0;Perr Schuurs
652;0;Dominik Kotarski
655;0;Milos Jojic
658;0;Fabrizio Caligara
660;238227;KrÈpin Diatta
663;0;Ante Rebic
675;0;Jorge Carrascal
677;227690;Dmitri Stotskiy
678;0;Vladimir Screciu
682;0;Anton Nedyalkov
684;0;Junior Kabananga
692;0;Eros Grezda
693;221323;JÈrÙme OnguÈnÈ
695;0;Bjˆrn Sigurdarson
699;210950;Pablo de Blasis
708;197890;Alejandro Arribas
709;0;Pedr„o
713;0;Filip Novak
720;206210;Simone Ganz
721;0;Albert Gudmundsson
722;0;Assan Ceesay
725;0;Yassine Meriah
734;0;Dominic Vinicius
737;239611;Mo Eisa
740;0;Ronald Ara˙jo
747;0;Marcelo Barovero
751;0;Leonardo Sigali
753;0;Hamza Lahmar
755;0;Cristian Bunino
756;235297;Matus Bero
757;0;Salah Mohsen
759;0;Nayef Aguerd
760;222562;R˙nar Alex R˙narsson
765;0;Jeff Reine-AdÈlaÔde
768;0;Santiago TrÈllez
769;0;Jan Matousek
773;0;Igor Sergeev
775;0;Ondrej Mihalik
776;0;Kaloyan Krastev
778;0;Nikolas Spalek
779;0;Mohamed Camara
782;0;Ivan Tomecak
785;0;Juninho Capixaba
787;0;Federico Mancuello
791;0;Samuel Mraz
792;0;Baris Alici
793;0;Dusan Vlahovic
797;0;Adis Jahovic
806;0;Diogo Barbosa
809;0;Jean
810;0;Alessandro Tripaldelli
811;0;Ante Erceg
814;224719;Aleksandr Tashaev
816;0;Vitalie Damascan
817;199829;David Timor
818;0;Nicholas Opoku
819;0;…rick Torres
822;194662;Anton Zabolotny
823;213835;Jens Martin Gammelby
825;0;Denis Alibec
826;0;Ferdi Kadioglu
827;205998;AndrÈ Poko
832;0;LÈandre Tawamba
836;0;Hugo Nervo
841;0;Ragnar Klavan
842;0;Julian von Moos
844;0;Facundo Castro
847;0;Andrija Pavlovic
848;0;Mateo Barac
849;218746;JosÈ Pozo
852;0;Diego Calderon
853;0;Mohamed Magdy
857;0;Emerson Santos
859;189715;Marko Vejinovi?
861;0;Kawin Thamsatchanan
870;0;Ervin Zukanovic
872;0;Aleksandar Palocevic
876;0;Evgen Makarenko
878;0;Jucilei
879;0;Franck Ohandza
881;0;Hamid Ahadad
883;0;êdison Flores
884;0;Mohamed Hamdi
892;0;Anthony Nwakaeme
895;0;Anthony Blondell
896;0;Pablo Ar·nguiz
897;0;Douglas Augusto
899;0;Carlos Feraud
901;0;Emre Colak
903;178086;Antonio Ad·n
904;0;Andrej Lukic
906;0;Viktor Gyˆkeres
907;0;Josip Radosevic
