"nombre";"ultimoClub";"nuevoClub";"coste";"mercado";"IDF";"ID"
"Kylian Mbappé";"Monaco";"Paris SG";135000000;"VERANO";1;231747
"Philippe Coutinho";"FC Liverpool";"FC Barcelona";130000000;"INVIERNO";2;189242
"Cristiano Ronaldo";"Real Madrid";"Juventus";117000000;"VERANO";3;20801
"Kepa";"Athletic";"Chelsea";80000000;"VERANO";4;206585
"Virgil van Dijk";"FC Southampton";"FC Liverpool";78800000;"INVIERNO";5;203376
"Thomas Lemar";"Monaco";"Atlético Madrid";70000000;"VERANO";6;213565
"Riyad Mahrez";"Leicester City";"Manchester City";67800000;"VERANO";7;204485
"Diego Costa";"Chelsea";"Atlético Madrid";66000000;"INVIERNO";8;179844
"Aymeric Laporte";"Athletic";"Manchester City";65000000;"INVIERNO";9;212218
"Pierre-Emerick Aubameyang";"Bor. Dortmund";"FC Arsenal";63750000;"INVIERNO";10;188567
"Alisson";"AS Roma";"FC Liverpool";62500000;"VERANO";11;212831
"Naby Keïta";"RB Leipzig";"FC Liverpool";60000000;"VERANO";12;220971
"Fred";"Shakhtar D.";"Man Utd.";59000000;"VERANO";13;209297
"Jorginho";"SSC Napoli";"Chelsea";57000000;"VERANO";14;220184
"Fabinho";"Monaco";"FC Liverpool";45000000;"VERANO";15;209499
"Malcom";"G. Bordeaux";"FC Barcelona";41000000;"VERANO";17;222737
"João Cancelo";"Valencia CF";"Juventus";40400000;"VERANO";18;210514
"Cédric Bakambu";"Villarreal CF";"BJ Sinobo Guoan";40000000;"INVIERNO";19;198951
"Douglas Costa";"Bayern Múnich";"Juventus";40000000;"VERANO";20;190483
"Gonçalo Guedes";"Paris SG";"Valencia CF";40000000;"VERANO";21;224411
"Richarlison";"Watford";"Everton";39200000;"VERANO";22;231943
"Radja Nainggolan";"AS Roma";"Inter de Milán";38000000;"VERANO";23;178518
"Felipe Anderson";"Lazio";"West Ham Utd.";38000000;"VERANO";24;201995
"Thilo Kehrer";"FC Schalke 04";"Paris SG";37000000;"VERANO";25;226229
"Clément Lenglet";"Sevilla FC";"FC Barcelona";35900000;"VERANO";26;220440
"Mattia Caldara";"Juventus";"AC Milan";35000000;"VERANO";27;220477
"Leonardo Bonucci";"AC Milan";"Juventus";35000000;"VERANO";28;184344
"Thibaut Courtois";"Chelsea";"Real Madrid";35000000;"VERANO";29;192119
"Iñigo Martínez";"Real Sociedad";"Athletic";32000000;"INVIERNO";30;204525
"Yannick Carrasco";"Atlético Madrid";"DL Yifang";30000000;"INVIERNO";33;208418
"Lucas Torreira";"UC Sampdoria";"FC Arsenal";30000000;"VERANO";34;223959
"Jean Michaël Seri";"OGC Nice";"FC Fulham";30000000;"VERANO";35;216451
"Aleksandr Golovin";"CSKA Moscú";"Monaco";30000000;"VERANO";36;225663
"Álvaro Odriozola";"Real Sociedad";"Real Madrid";30000000;"VERANO";37;234035
"Fabián Ruiz";"Real Betis";"SSC Napoli";30000000;"VERANO";38;226271
"Lucas Moura";"Paris SG";"Tottenham";28400000;"INVIERNO";40;200949
"Abdou Diallo";"1.FSV Mainz 05";"Bor. Dortmund";28000000;"VERANO";41;225711
"Jefferson Lerma";"Levante UD";"Bournemouth";28000000;"VERANO";42;213991
"Steven Nzonzi";"Sevilla FC";"AS Roma";26650000;"VERANO";43;187936
"Samu Castillejo";"Villarreal CF";"AC Milan";25000000;"VERANO";44;210617
"Bernd Leno";"Bay. Leverkusen";"FC Arsenal";25000000;"VERANO";45;192563
"Jannik Vestergaard";"Bor. M'gladbach";"FC Southampton";25000000;"VERANO";46;202849
"James Maddison";"Norwich";"Leicester City";25000000;"VERANO";47;220697
"Kevin Strootman";"AS Roma";"Marseille";25000000;"VERANO";48;189712
"Simone Verdi";"FC Bologna";"SSC Napoli";25000000;"VERANO";49;196889
"Geoffrey Kondogbia";"Inter de Milán";"Valencia CF";25000000;"VERANO";50;201455
"Issa Diop";"Toulouse";"West Ham Utd.";25000000;"VERANO";51;231633
"André Zambo Anguissa";"Marseille";"FC Fulham";24850000;"VERANO";52;227236
"Javier Pastore";"Paris SG";"AS Roma";24700000;"VERANO";53;191180
"Yuri Berchiche";"Paris SG";"Athletic";24000000;"VERANO";54;183512
"Alassane Pléa";"OGC Nice";"Bor. M'gladbach";23000000;"VERANO";55;206467
"André Ayew";"West Ham Utd.";"Swansea City";22800000;"INVIERNO";56;176571
"Cenk Tosun";"Besiktas";"Everton";22500000;"INVIERNO";57;192991
"Theo Walcott";"FC Arsenal";"Everton";22500000;"INVIERNO";58;164859
"Guido Carrillo";"Monaco";"FC Southampton";22000000;"INVIERNO";59;215334
"Ricardo Pereira";"FC Porto";"Leicester City";22000000;"VERANO";60;210243
"Diogo Dalot";"FC Porto";"Man Utd.";22000000;"VERANO";61;234574
"Moussa Dembélé";"Celtic FC";"Olymp. Lyonnais";22000000;"VERANO";62;211591
"Manuel Akanji";"FC Basel";"Bor. Dortmund";21500000;"INVIERNO";63;229237
"Mariano Díaz";"Olymp. Lyonnais";"Real Madrid";21500000;"VERANO";64;221639
"Caglar Söyüncü";"SC Freiburg";"Leicester City";21100000;"VERANO";65;232119
"Lucas Digne";"FC Barcelona";"Everton";20200000;"VERANO";67;200458
"Aleksandar Mitrovic";"Newcastle Utd.";"FC Fulham";20200000;"VERANO";68;215716
"Rodri";"Villarreal CF";"Atlético Madrid";20000000;"VERANO";70;198631
"Axel Witsel";"TJ Quanjian";"Bor. Dortmund";20000000;"VERANO";71;177413
"Thomas Delaney";"Werder Bremen";"Bor. Dortmund";20000000;"VERANO";72;193283
"Emerson";"AS Roma";"Chelsea";20000000;"INVIERNO";73;210736
"Terence Kongolo";"Monaco";"Huddersfield";20000000;"VERANO";74;203485
"Benjamin Henrichs";"Bay. Leverkusen";"Monaco";20000000;"VERANO";75;228579
"William Carvalho";"Sporting CP";"Real Betis";20000000;"VERANO";77;207566
"Quincy Promes";"Spartak Moskva";"Sevilla FC";20000000;"VERANO";78;208808
"Rolando Mandragora";"Juventus";"Udinese Calcio";20000000;"VERANO";79;225439
"Gerard Moreno";"Espanyol";"Villarreal CF";20000000;"VERANO";80;208093
"Andriy Yarmolenko";"Bor. Dortmund";"West Ham Utd.";20000000;"VERANO";81;194794
"Adama Traoré";"Middlesbrough";"Wolverhampton";20000000;"VERANO";82;225151
"Alireza Jahanbakhsh";"AZ Alkmaar";"Brighton";19000000;"VERANO";83;215871
"Duje Caleta-Car";"RB Salzburg";"Marseille";19000000;"VERANO";84;225263
"Arturo Vidal";"Bayern Múnich";"FC Barcelona";18000000;"VERANO";86;181872
"Karl Toko Ekambi";"SCO Angers";"Villarreal CF";18000000;"VERANO";87;224069
"Justin Kluivert";"AFC Ajax";"AS Roma";17250000;"VERANO";88;236920
"Jürgen Locadia";"PSV Eindhoven";"Brighton";17000000;"INVIERNO";89;204366
"Olivier Giroud";"FC Arsenal";"Chelsea";17000000;"INVIERNO";90;178509
"Duván Zapata";"SSC Napoli";"UC Sampdoria";17000000;"VERANO";91;215333
"Yves Bissouma";"LOSC Lille";"Brighton";16900000;"VERANO";92;236480
"Ross Barkley";"Everton";"Chelsea";16900000;"INVIERNO";93;199189
"Ben Gibson";"Middlesbrough";"FC Burnley";16900000;"VERANO";94;200408
"Alfie Mawson";"Swansea City";"FC Fulham";16850000;"VERANO";95;208534
"Ahmed Musa";"Leicester City";"Nasr";16500000;"VERANO";96;201818
"Daley Blind";"Man Utd.";"AFC Ajax";16000000;"VERANO";97;190815
"Sokratis";"Bor. Dortmund";"FC Arsenal";16000000;"VERANO";98;172879
"Sebastian Rudy";"Bayern Múnich";"FC Schalke 04";16000000;"VERANO";99;189251
"Lautaro Martínez";"Racing Club";"Inter de Milán";16000000;"VERANO";100;231478
"Nordi Mukiele";"Montpellier";"RB Leipzig";16000000;"VERANO";101;226166
"Badou Ndiaye";"Galatasaray";"Stoke City";16000000;"INVIERNO";102;221000
"Kévin Gameiro";"Atlético Madrid";"Valencia CF";16000000;"VERANO";103;176600
"Grégoire Defrel";"Sassuolo";"AS Roma";15000000;"VERANO";104;202851
"Joaquín Correa";"Sevilla FC";"Lazio";15000000;"VERANO";105;215330
"João Carvalho";"Benfica";"Nottm Forest";15000000;"VERANO";106;231391
"Matheus Cunha";"FC Sion";"RB Leipzig";15000000;"VERANO";107;240243
"Ibrahim Amadou";"LOSC Lille";"Sevilla FC";15000000;"VERANO";108;211382
"Joris Gnagnon";"Rennes";"Sevilla FC";15000000;"VERANO";109;231361
"Mouctar Diakhaby";"Olymp. Lyonnais";"Valencia CF";15000000;"VERANO";110;230578
"Xherdan Shaqiri";"Stoke City";"FC Liverpool";14700000;"VERANO";112;193348
"Nikola Kalinic";"AC Milan";"Atlético Madrid";14500000;"VERANO";113;185431
"Rodolfo Pizarro";"Chivas";"Monterrey";14500000;"VERANO";115;210761
"Diego Laxalt";"Genoa CFC";"AC Milan";14000000;"VERANO";116;213400
"Danny Ward";"FC Liverpool";"Leicester City";14000000;"VERANO";117;194319
"Rachid Ghezzal";"Monaco";"Leicester City";14000000;"VERANO";118;210372
"Jean-Eudes Aholou";"R. Strasbourg";"Monaco";14000000;"VERANO";119;220905
"Francis Coquelin";"FC Arsenal";"Valencia CF";14000000;"INVIERNO";120;189271
"Daniel Ginczek";"VfB Stuttgart";"VfL Wolfsburg";14000000;"VERANO";121;192445
"Diogo Jota";"Atlético Madrid";"Wolverhampton";14000000;"VERANO";122;224458
"Davy Klaassen";"Everton";"Werder Bremen";13500000;"VERANO";123;203483
"Sandro Wagner";"TSG Hoffenheim";"Bayern Múnich";13000000;"INVIERNO";124;184069
"Gerard Deulofeu";"FC Barcelona";"Watford";13000000;"VERANO";125;202477
"Alex Pritchard";"Norwich";"Huddersfield";12350000;"INVIERNO";126;205351
"Ezequiel Barco";"Independiente";"Atlanta United";12280000;"INVIERNO";127;236007
"Matej Vydra";"Derby";"FC Burnley";12200000;"VERANO";128;198331
"Mitchell Weiser";"Hertha Berlin";"Bay. Leverkusen";12000000;"VERANO";130;206591
"Diego Rico";"CD Leganés";"Bournemouth";12000000;"VERANO";131;220414
