;special;age;height_cm;weight_kg;eur_value;overall;potential;pac;sho;pas;dri;def;phy;international_reputation;skill_moves;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;free_kick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;marking;standing_tackle;sliding_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;coste;rs;rw;rf;ram;rcm;rm;rdm;rcb;rb;rwb;st;lw;cf;cam;cm;lm;cdm;cb;lb;lwb;ls;lf;lam;lcm;ldm;lcb;gk
special;1;0,239809376;-0,38068028;-0,281997516;0,374651932;0,602891765;0,395498289;0,322182389;0,267091007;0,507640183;0,447490922;0,359335119;0,331618144;0,297046637;0,613899764;0,863302925;0,708029867;0,65022867;0,902548313;0,762153145;0,862015111;0,846068264;0,805979606;0,843896681;0,90590927;0,650230311;0,648325922;0,690503162;0,586286262;0,579591566;0,829431475;0,31310791;0,79156862;0,188576671;0,832324471;0,66695756;0,564309488;0,814834935;0,753399247;0,731409344;0,801835039;0,50800216;0,538250835;0,51041636;-0,672265335;-0,669718106;-0,667824863;-0,666578536;-0,671005087;NA;0,875768867;0,889911444;0,888978631;0,89797524;0,91528516;0,89731901;0,838212611;0,746468319;0,828174288;0,858769777;0,875768867;0,889911444;0,888978631;0,89797524;0,91528516;0,89731901;0,838212611;0,746468319;0,828174288;0,858769777;0,875768867;0,888978631;0,89797524;0,91528516;0,838212611;0,746468319;-0,692941285
age;0,239809376;1;0,076436503;0,219436331;0,080729783;0,460524228;-0,224272959;-0,13417876;0,24904395;0,338836687;0,180066237;0,226052086;0,420283886;0,23831527;-0,029976035;0,136340187;0,066626617;0,144874369;0,131274575;0,134681331;0,00567246;0,145679552;0,196799343;0,186040993;0,083563433;-0,152598139;-0,142585694;-0,018306401;0,461962876;-0,08613768;0,151036513;0,168540079;0,086837055;0,320327485;0,150711322;0,265589216;0,203933446;0,080989069;0,190141294;0,132666207;0,323296982;0,145717581;0,126183549;0,108157681;0,10071215;0,106043717;0,102959573;0,11569998;0,101732392;NA;0,047629564;0,020623164;0,032837204;0,036225531;0,073159783;0,025050379;0,104547978;0,110043836;0,070902386;0,067619771;0,047629564;0,020623164;0,032837204;0,036225531;0,073159783;0,025050379;0,104547978;0,110043836;0,070902386;0,067619771;0,047629564;0,032837204;0,036225531;0,073159783;0,104547978;0,110043836;0,095253936
height_cm;-0,38068028;0,076436503;1;0,766899868;0,002631326;0,042722545;0,003969439;-0,385722301;-0,071798285;-0,191625532;-0,300212647;0,111445855;0,408702471;0,042907214;-0,443444315;-0,489331411;-0,364185265;0,007341545;-0,368146976;-0,351700503;-0,498520147;-0,437617924;-0,39376615;-0,327096038;-0,417537906;-0,54064638;-0,465888256;-0,623885937;-0,021703189;-0,793564485;-0,288507146;-0,069621036;-0,289698718;0,544432967;-0,374987979;-0,048031849;-0,045643659;-0,431896446;-0,369766141;-0,339747173;-0,190021879;-0,039570601;-0,05154609;-0,067442268;0,361556842;0,363880762;0,359150826;0,362403471;0,363848436;NA;-0,391117554;-0,474222296;-0,445847291;-0,45687071;-0,409023019;-0,464801112;-0,277048862;-0,171565626;-0,307230995;-0,346665707;-0,391117554;-0,474222296;-0,445847291;-0,45687071;-0,409023019;-0,464801112;-0,277048862;-0,171565626;-0,307230995;-0,346665707;-0,391117554;-0,445847291;-0,45687071;-0,409023019;-0,277048862;-0,171565626;0,368455485
weight_kg;-0,281997516;0,219436331;0,766899868;1;0,036922567;0,136610817;-0,012879007;-0,331832862;0,009378681;-0,10575736;-0,2119842;0,118596342;0,485327642;0,083283588;-0,391108078;-0,406073627;-0,297335605;0,020143856;-0,311656207;-0,275384297;-0,430637887;-0,355068895;-0,306176602;-0,269989094;-0,355454487;-0,481142543;-0,416280065;-0,548508672;0,072930482;-0,678560823;-0,204088057;-0,003918322;-0,24146762;0,613090134;-0,287135621;0,017590428;-0,026390766;-0,357635276;-0,295513135;-0,262769294;-0,115185577;-0,028072641;-0,04561704;-0,061213034;0,347257692;0,347668092;0,344054263;0,349390734;0,348134895;NA;-0,331223659;-0,412745452;-0,385144395;-0,397375612;-0,354614074;-0,405755489;-0,238295741;-0,142789609;-0,27061252;-0,304415776;-0,331223659;-0,412745452;-0,385144395;-0,397375612;-0,354614074;-0,405755489;-0,238295741;-0,142789609;-0,27061252;-0,304415776;-0,331223659;-0,385144395;-0,397375612;-0,354614074;-0,238295741;-0,142789609;0,349962126
eur_value;0,374651932;0,080729783;0,002631326;0,036922567;1;0,624771587;0,584200069;0,212217342;0,325814689;0,410173058;0,408802407;0,119896317;0,250853429;0,715544846;0,230841065;0,245927457;0,254993378;0,187957952;0,321943795;0,285420542;0,266669603;0,284118355;0,265503321;0,297640307;0,307934394;0,175553504;0,180641061;0,200143314;0,528796039;0,105551772;0,278971377;0,139862163;0,211178177;0,1413551;0,278532857;0,187400647;0,140123368;0,260190234;0,342740988;0,240445453;0,400257662;0,07683208;0,102946952;0,083206806;-0,032155566;-0,030194829;-0,034957378;-0,031263508;-0,031675989;NA;0,234358851;0,233289276;0,240733941;0,241393442;0,241091957;0,231062139;0,188781815;0,144833991;0,172498749;0,186938042;0,234358851;0,233289276;0,240733941;0,241393442;0,241091957;0,231062139;0,188781815;0,144833991;0,172498749;0,186938042;0,234358851;0,240733941;0,241393442;0,241091957;0,188781815;0,144833991;-0,034410999
overall;0,602891765;0,460524228;0,042722545;0,136610817;0,624771587;1;0,678778437;0,258982375;0,461622363;0,643840992;0,587779923;0,319159679;0,557633638;0,526885819;0,224850011;0,389180643;0,320369361;0,338943939;0,486267262;0,378622443;0,354884865;0,411683751;0,396201916;0,473635882;0,450595245;0,203532015;0,221101224;0,263958499;0,839135288;0,09751165;0,428146215;0,272472907;0,356162792;0,355377455;0,411581037;0,398815656;0,324036461;0,347986393;0,479114687;0,333607268;0,628191771;0,244006994;0,249613001;0,218618736;-0,020599121;-0,017068518;-0,024882711;-0,012146459;-0,018541243;NA;0,332273887;0,321960665;0,33298887;0,336891568;0,362060596;0,325799143;0,335141042;0,292207998;0,305552546;0,318282149;0,332273887;0,321960665;0,33298887;0,336891568;0,362060596;0,325799143;0,335141042;0,292207998;0,305552546;0,318282149;0,332273887;0,33298887;0,336891568;0,362060596;0,335141042;0,292207998;-0,032126344
potential;0,395498289;-0,224272959;0,003969439;-0,012879007;0,584200069;0,678778437;1;0,302566175;0,295083387;0,416311824;0,462930429;0,156688069;0,23384168;0,422658402;0,218974532;0,249715311;0,241978488;0,205305345;0,368036255;0,255511279;0,313086155;0,282435061;0,23515946;0,325833172;0,359492938;0,246378648;0,254864295;0,23257723;0,514208631;0,134157545;0,290128647;0,132281309;0,219911391;0,107200739;0,272161458;0,185443987;0,162630817;0,250526232;0,338850834;0,22363979;0,39755616;0,123774079;0,144273137;0,128338834;-0,049054297;-0,048921983;-0,056984047;-0,049750726;-0,048818485;NA;0,254235018;0,262570582;0,267037945;0,270380491;0,271102674;0,262484555;0,224885354;0,180218057;0,213518259;0,226745957;0,254235018;0,262570582;0,267037945;0,270380491;0,271102674;0,262484555;0,224885354;0,180218057;0,213518259;0,226745957;0,254235018;0,267037945;0,270380491;0,271102674;0,224885354;0,180218057;-0,054033653
pac;0,322182389;-0,13417876;-0,385722301;-0,331832862;0,212217342;0,258982375;0,302566175;1;0,345504306;0,301430958;0,567603199;-0,237660374;-0,090270449;0,084914349;0,341780649;0,352177936;0,334688699;-0,099986573;0,176842751;0,2929976;0,399768218;0,311819329;0,204854748;0,106134284;0,281331692;0,766224085;0,770447307;0,603733474;0,196677968;0,47333044;0,213853867;0,135377179;0,261031385;-0,252312983;0,278607682;-0,088146294;-0,170987606;0,362531393;0,292332449;0,210079702;0,151160228;-0,197282365;-0,190070421;-0,175500846;-0,041733408;-0,04535287;-0,04881092;-0,045040192;-0,04318293;NA;0,25150179;0,320501095;0,289527356;0,274907196;0,178570341;0,299328793;0,011788582;-0,075269685;0,076031012;0,117463455;0,25150179;0,320501095;0,289527356;0,274907196;0,178570341;0,299328793;0,011788582;-0,075269685;0,076031012;0,117463455;0,25150179;0,289527356;0,274907196;0,178570341;0,011788582;-0,075269685;-0,048979158
sho;0,267091007;0,24904395;-0,071798285;0,009378681;0,325814689;0,461622363;0,295083387;0,345504306;1;0,64977712;0,764194775;-0,451156425;0,017721776;0,279260063;0,250141255;0,179899628;0,581642765;-0,15120105;0,140199558;0,508352845;0,268157945;0,370646288;0,35656613;0,109702874;0,20916577;0,115969649;0,100128169;0,252171139;0,41675075;0,113337595;0,412140238;-0,061877225;-0,050805155;-0,070713349;0,519516102;-0,199845408;-0,426797232;0,406938605;0,507944967;0,412184129;0,233940814;-0,518216221;-0,499113628;-0,523572275;0,261957638;0,271110693;0,262835011;0,265338336;0,263976637;NA;0,162010957;0,147077043;0,167748216;0,142430719;0,030048337;0,098163081;-0,248615184;-0,374397723;-0,278399715;-0,219409098;0,162010957;0,147077043;0,167748216;0,142430719;0,030048337;0,098163081;-0,248615184;-0,374397723;-0,278399715;-0,219409098;0,162010957;0,167748216;0,142430719;0,030048337;-0,248615184;-0,374397723;0,262059727
pas;0,507640183;0,338836687;-0,191625532;-0,10575736;0,410173058;0,643840992;0,416311824;0,301430958;0,64977712;1;0,80573652;0,083004754;0,145766351;0,355844835;0,219637128;0,48714623;0,31593437;-0,11080439;0,46425385;0,365138395;0,356679433;0,504953545;0,506034478;0,551167798;0,358016167;0,151565706;0,122983555;0,330982726;0,583849589;0,236404203;0,341484938;-0,022252798;0,146775609;-0,070720046;0,436627199;0,083451611;0,08126855;0,351243867;0,684843174;0,280759552;0,401924546;-0,011699402;0,009993619;-0,003807627;0,163650541;0,167525155;0,179508444;0,167057114;0,164331111;NA;0,176777644;0,242249485;0,233570928;0,259075717;0,251165677;0,237409283;0,114434782;-0,014028281;0,075207371;0,118767044;0,176777644;0,242249485;0,233570928;0,259075717;0,251165677;0,237409283;0,114434782;-0,014028281;0,075207371;0,118767044;0,176777644;0,233570928;0,259075717;0,251165677;0,114434782;-0,014028281;0,159821668
