name;Último club;Nuevo club;Coste;Amount;Mercado
Kylian Mbappé;Monaco;Paris SG;135,00 mill. €;135000000;VERANO
Philippe Coutinho;FC Liverpool;FC Barcelona;130,00 mill. €;130000000;INVIERNO
Cristiano Ronaldo;Real Madrid;Juventus;117,00 mill. €;117000000;VERANO
Kepa;Athletic;Chelsea;80,00 mill. €;80000000;VERANO
Virgil van Dijk;FC Southampton;FC Liverpool;78,80 mill. €;78800000;INVIERNO
Thomas Lemar;Monaco;Atlético Madrid;70,00 mill. €;70000000;VERANO
Riyad Mahrez;Leicester City;Manchester City;67,80 mill. €;67800000;VERANO
Diego Costa;Chelsea;Atlético Madrid;66,00 mill. €;66000000;INVIERNO
Aymeric Laporte;Athletic;Manchester City;65,00 mill. €;65000000;INVIERNO
Pierre-Emerick Aubameyang;Bor. Dortmund;FC Arsenal;63,75 mill. €;63750000;INVIERNO
Alisson;AS Roma;FC Liverpool;62,50 mill. €;62500000;VERANO
Naby Keïta;RB Leipzig;FC Liverpool;60,00 mill. €;60000000;VERANO
Fred;Shakhtar D.;Man Utd.;59,00 mill. €;59000000;VERANO
Jorginho;SSC Napoli;Chelsea;57,00 mill. €;57000000;VERANO
Fabinho;Monaco;FC Liverpool;45,00 mill. €;45000000;VERANO
Vinícius Júnior;Flamengo;Real Madrid;45,00 mill. €;45000000;VERANO
Malcom;G. Bordeaux;FC Barcelona;41,00 mill. €;41000000;VERANO
João Cancelo;Valencia CF;Juventus;40,40 mill. €;40400000;VERANO
Cédric Bakambu;Villarreal CF;BJ Sinobo Guoan;40,00 mill. €;40000000;INVIERNO
Douglas Costa;Bayern Múnich;Juventus;40,00 mill. €;40000000;VERANO
Gonçalo Guedes;Paris SG;Valencia CF;40,00 mill. €;40000000;VERANO
Richarlison;Watford;Everton;39,20 mill. €;39200000;VERANO
Radja Nainggolan;AS Roma;Inter de Milán;38,00 mill. €;38000000;VERANO
Felipe Anderson;Lazio;West Ham Utd.;38,00 mill. €;38000000;VERANO
Thilo Kehrer;FC Schalke 04;Paris SG;37,00 mill. €;37000000;VERANO
Clément Lenglet;Sevilla FC;FC Barcelona;35,90 mill. €;35900000;VERANO
Mattia Caldara;Juventus;AC Milan;35,00 mill. €;35000000;VERANO
Leonardo Bonucci;AC Milan;Juventus;35,00 mill. €;35000000;VERANO
Thibaut Courtois;Chelsea;Real Madrid;35,00 mill. €;35000000;VERANO
Iñigo Martínez;Real Sociedad;Athletic;32,00 mill. €;32000000;INVIERNO
Arthur;Grêmio;FC Barcelona;31,00 mill. €;31000000;VERANO
Yerry Mina;FC Barcelona;Everton;30,25 mill. €;30250000;VERANO
Yannick Carrasco;Atlético Madrid;DL Yifang;30,00 mill. €;30000000;INVIERNO
Lucas Torreira;UC Sampdoria;FC Arsenal;30,00 mill. €;30000000;VERANO
Jean Michaël Seri;OGC Nice;FC Fulham;30,00 mill. €;30000000;VERANO
Aleksandr Golovin;CSKA Moscú;Monaco;30,00 mill. €;30000000;VERANO
Álvaro Odriozola;Real Sociedad;Real Madrid;30,00 mill. €;30000000;VERANO
Fabián Ruiz;Real Betis;SSC Napoli;30,00 mill. €;30000000;VERANO
Anthony Modeste;1.FC Köln;TJ Quanjian;29,00 mill. €;29000000;VERANO
Lucas Moura;Paris SG;Tottenham;28,40 mill. €;28400000;INVIERNO
Abdou Diallo;1.FSV Mainz 05;Bor. Dortmund;28,00 mill. €;28000000;VERANO
Jefferson Lerma;Levante UD;Bournemouth;28,00 mill. €;28000000;VERANO
Steven Nzonzi;Sevilla FC;AS Roma;26,65 mill. €;26650000;VERANO
Samu Castillejo;Villarreal CF;AC Milan;25,00 mill. €;25000000;VERANO
Bernd Leno;Bay. Leverkusen;FC Arsenal;25,00 mill. €;25000000;VERANO
Jannik Vestergaard;Bor. M'gladbach;FC Southampton;25,00 mill. €;25000000;VERANO
James Maddison;Norwich;Leicester City;25,00 mill. €;25000000;VERANO
Kevin Strootman;AS Roma;Marseille;25,00 mill. €;25000000;VERANO
Simone Verdi;FC Bologna;SSC Napoli;25,00 mill. €;25000000;VERANO
Geoffrey Kondogbia;Inter de Milán;Valencia CF;25,00 mill. €;25000000;VERANO
Issa Diop;Toulouse;West Ham Utd.;25,00 mill. €;25000000;VERANO
André Zambo Anguissa;Marseille;FC Fulham;24,85 mill. €;24850000;VERANO
Javier Pastore;Paris SG;AS Roma;24,70 mill. €;24700000;VERANO
Yuri Berchiche;Paris SG;Athletic;24,00 mill. €;24000000;VERANO
Alassane Pléa;OGC Nice;Bor. M'gladbach;23,00 mill. €;23000000;VERANO
André Ayew;West Ham Utd.;Swansea City;22,80 mill. €;22800000;INVIERNO
Cenk Tosun;Besiktas;Everton;22,50 mill. €;22500000;INVIERNO
Theo Walcott;FC Arsenal;Everton;22,50 mill. €;22500000;INVIERNO
Guido Carrillo;Monaco;FC Southampton;22,00 mill. €;22000000;INVIERNO
Ricardo Pereira;FC Porto;Leicester City;22,00 mill. €;22000000;VERANO
Diogo Dalot;FC Porto;Man Utd.;22,00 mill. €;22000000;VERANO
Moussa Dembélé;Celtic FC;Olymp. Lyonnais;22,00 mill. €;22000000;VERANO
Manuel Akanji;FC Basel;Bor. Dortmund;21,50 mill. €;21500000;INVIERNO
Mariano Díaz;Olymp. Lyonnais;Real Madrid;21,50 mill. €;21500000;VERANO
Caglar Söyüncü;SC Freiburg;Leicester City;21,10 mill. €;21100000;VERANO
Pietro Pellegri;Genoa CFC;Monaco;21,00 mill. €;21000000;INVIERNO
Lucas Digne;FC Barcelona;Everton;20,20 mill. €;20200000;VERANO
Aleksandar Mitrovic;Newcastle Utd.;FC Fulham;20,20 mill. €;20200000;VERANO
Nikola Kalinic;Fiorentina;AC Milan;20,00 mill. €;20000000;VERANO
Rodri;Villarreal CF;Atlético Madrid;20,00 mill. €;20000000;VERANO
Axel Witsel;TJ Quanjian;Bor. Dortmund;20,00 mill. €;20000000;VERANO
Thomas Delaney;Werder Bremen;Bor. Dortmund;20,00 mill. €;20000000;VERANO
Emerson;AS Roma;Chelsea;20,00 mill. €;20000000;INVIERNO
Terence Kongolo;Monaco;Huddersfield;20,00 mill. €;20000000;VERANO
Benjamin Henrichs;Bay. Leverkusen;Monaco;20,00 mill. €;20000000;VERANO
Willem Geubbels;Olymp. Lyonnais;Monaco;20,00 mill. €;20000000;VERANO
William Carvalho;Sporting CP;Real Betis;20,00 mill. €;20000000;VERANO
Quincy Promes;Spartak Moskva;Sevilla FC;20,00 mill. €;20000000;VERANO
Rolando Mandragora;Juventus;Udinese Calcio;20,00 mill. €;20000000;VERANO
Gerard Moreno;Espanyol;Villarreal CF;20,00 mill. €;20000000;VERANO
Andriy Yarmolenko;Bor. Dortmund;West Ham Utd.;20,00 mill. €;20000000;VERANO
Adama Traoré;Middlesbrough;Wolverhampton;20,00 mill. €;20000000;VERANO
Alireza Jahanbakhsh;AZ Alkmaar;Brighton;19,00 mill. €;19000000;VERANO
Duje Caleta-Car;RB Salzburg;Marseille;19,00 mill. €;19000000;VERANO
Paulinho;Vasco da Gama;Bay. Leverkusen;18,50 mill. €;18500000;VERANO
Arturo Vidal;Bayern Múnich;FC Barcelona;18,00 mill. €;18000000;VERANO
Karl Toko Ekambi;SCO Angers;Villarreal CF;18,00 mill. €;18000000;VERANO
Justin Kluivert;AFC Ajax;AS Roma;17,25 mill. €;17250000;VERANO
Jürgen Locadia;PSV Eindhoven;Brighton;17,00 mill. €;17000000;INVIERNO
Olivier Giroud;FC Arsenal;Chelsea;17,00 mill. €;17000000;INVIERNO
Duván Zapata;SSC Napoli;UC Sampdoria;17,00 mill. €;17000000;VERANO
Yves Bissouma;LOSC Lille;Brighton;16,90 mill. €;16900000;VERANO
Ross Barkley;Everton;Chelsea;16,90 mill. €;16900000;INVIERNO
Ben Gibson;Middlesbrough;FC Burnley;16,90 mill. €;16900000;VERANO
Alfie Mawson;Swansea City;FC Fulham;16,85 mill. €;16850000;VERANO
Ahmed Musa;Leicester City;Nasr;16,50 mill. €;16500000;VERANO
Daley Blind;Man Utd.;AFC Ajax;16,00 mill. €;16000000;VERANO
Sokratis;Bor. Dortmund;FC Arsenal;16,00 mill. €;16000000;VERANO
Sebastian Rudy;Bayern Múnich;FC Schalke 04;16,00 mill. €;16000000;VERANO
Lautaro Martínez;Racing Club;Inter de Milán;16,00 mill. €;16000000;VERANO
Nordi Mukiele;Montpellier;RB Leipzig;16,00 mill. €;16000000;VERANO
Badou Ndiaye;Galatasaray;Stoke City;16,00 mill. €;16000000;INVIERNO
Kévin Gameiro;Atlético Madrid;Valencia CF;16,00 mill. €;16000000;VERANO
Grégoire Defrel;Sassuolo;AS Roma;15,00 mill. €;15000000;VERANO
Joaquín Correa;Sevilla FC;Lazio;15,00 mill. €;15000000;VERANO
João Carvalho;Benfica;Nottm Forest;15,00 mill. €;15000000;VERANO
Matheus Cunha;FC Sion;RB Leipzig;15,00 mill. €;15000000;VERANO
Ibrahim Amadou;LOSC Lille;Sevilla FC;15,00 mill. €;15000000;VERANO
Joris Gnagnon;Rennes;Sevilla FC;15,00 mill. €;15000000;VERANO
Mouctar Diakhaby;Olymp. Lyonnais;Valencia CF;15,00 mill. €;15000000;VERANO
Roger Martínez;JS Suning;Villarreal CF;14,90 mill. €;14900000;VERANO
Xherdan Shaqiri;Stoke City;FC Liverpool;14,70 mill. €;14700000;VERANO
Nikola Kalinic;AC Milan;Atlético Madrid;14,50 mill. €;14500000;VERANO
Filip Benkovic;Dinamo Zagreb;Leicester City;14,50 mill. €;14500000;VERANO
Rodolfo Pizarro;Chivas;Monterrey;14,50 mill. €;14500000;VERANO
Diego Laxalt;Genoa CFC;AC Milan;14,00 mill. €;14000000;VERANO
Danny Ward;FC Liverpool;Leicester City;14,00 mill. €;14000000;VERANO
Rachid Ghezzal;Monaco;Leicester City;14,00 mill. €;14000000;VERANO
Jean-Eudes Aholou;R. Strasbourg;Monaco;14,00 mill. €;14000000;VERANO
Francis Coquelin;FC Arsenal;Valencia CF;14,00 mill. €;14000000;INVIERNO
